timeStamp,elapsed,label
2024-05-02 19:10:03.429,2486,172.16.0.167 CPU combined
2024-05-02 19:10:03.931,3219,172.16.0.141 CPU combined
2024-05-02 19:10:03.931,3242,172.16.0.253 CPU combined
2024-05-02 19:10:03.932,3601,172.16.0.206 CPU combined
2024-05-02 19:10:04.206,4609,172.16.0.178 CPU combined
2024-05-02 19:10:04.207,2594,172.16.0.227 CPU combined
2024-05-02 19:10:05.207,501,172.16.0.167 CPU combined
2024-05-02 19:10:05.207,3043,172.16.0.138 CPU combined
2024-05-02 19:10:05.208,251,172.16.0.141 CPU combined
2024-05-02 19:10:05.208,126,172.16.0.253 CPU combined
2024-05-02 19:10:05.208,1395,172.16.0.206 CPU combined
2024-05-02 19:10:05.208,1146,172.16.0.178 CPU combined
2024-05-02 19:10:05.208,1503,172.16.0.227 CPU combined
2024-05-02 19:10:06.209,624,172.16.0.167 CPU combined
2024-05-02 19:10:06.209,252,172.16.0.138 CPU combined
2024-05-02 19:10:06.209,125,172.16.0.141 CPU combined
2024-05-02 19:10:06.209,250,172.16.0.253 CPU combined
2024-05-02 19:10:06.210,872,172.16.0.206 CPU combined
2024-05-02 19:10:06.210,250,172.16.0.178 CPU combined
2024-05-02 19:10:06.210,500,172.16.0.227 CPU combined
2024-05-02 19:10:07.210,1875,172.16.0.167 CPU combined
2024-05-02 19:10:07.210,250,172.16.0.138 CPU combined
2024-05-02 19:10:07.211,250,172.16.0.141 CPU combined
2024-05-02 19:10:07.211,2518,172.16.0.253 CPU combined
2024-05-02 19:10:07.211,125,172.16.0.206 CPU combined
2024-05-02 19:10:07.211,125,172.16.0.178 CPU combined
2024-05-02 19:10:07.211,250,172.16.0.227 CPU combined
2024-05-02 19:10:08.211,375,172.16.0.167 CPU combined
2024-05-02 19:10:08.211,500,172.16.0.138 CPU combined
